Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
MCW_CT_ROA_112_R1 - nextera_transposase_sequence	0.008660950647497825	0.008762476669515382	0.008762476669515382	0.008785905751519435	0.008793715445520786	0.008809334833523487	0.008809334833523487	0.008824954221526187	0.008887431773536993	0.008957719019549148	0.008965528713550499	0.008965528713550499	0.008973338407551849	0.0089811481015532	0.00898895779555455	0.009028006265561304	0.009028006265561304	0.009043625653564005	0.009059245041566705	0.00923886800359777	0.009387252189623432	0.010300986387781453	0.01041032210380036	0.010722709863854386	0.0109101425198868	0.011409962935973239	0.013549819092343306	0.01720475588497539	0.023710230988100447	0.03646346129230599	0.05397279524333406	0.07486372669694694	0.11206910891938124	0.16142637500791707	0.20879997882010987	0.27444826659546306	0.3631351516748006	0.4491198826296708	0.5541212184778297	0.7460132097850155	1.1025804088046802	1.6783657184422565	2.47438439891792	3.3653767681440083	4.238250647286963	4.919935407582853	5.407557081639183	5.710432634399562	5.94281007940975	6.217781595503303	6.659857134143755	7.34664943431653	8.28506226551882	9.348125622676665	10.39157883819712	11.259259270829176	11.886049691989573	12.31386472938356	12.590476281217397	12.868930920835552	13.230535372486088	13.791365118111079	14.59609941709225	15.611234682163808
MCW_CT_ROA_112_R2 - nextera_transposase_sequence	0.00910610320557481	0.009207629227592367	0.009207629227592367	0.009262297085601822	0.009270106779603172	0.009293535861607223	0.009293535861607223	0.009309155249609926	0.009363823107619379	0.009418490965628834	0.009434110353631535	0.009434110353631535	0.009449729741634237	0.009449729741634237	0.009457539435635588	0.009480968517639639	0.009480968517639639	0.00949658790564234	0.009520016987646391	0.009684020561674755	0.009848024135703118	0.010746138945858437	0.010855474661877345	0.011206910891938123	0.011363104771965135	0.011839496106047523	0.01398716195641894	0.017681147219057777	0.024350625896211196	0.037322527632454555	0.05555035343160688	0.07711291856933591	0.11541165795195929	0.165011024554537	0.21223624418070414	0.27757214419600335	0.3641972700589843	0.4489949275256492	0.5529653837656299	0.741389870936216	1.093622689785131	1.661449921235331	2.4612719226896522	3.339401725895516	4.2001549599483745	4.855130566759646	5.320533661382133	5.611882105796519	5.835215925153142	6.097762218090547	6.523726358006213	7.188948283347257	8.113295855653114	9.133163795289489	10.130500767731968	10.962178511017798	11.561838055217505	11.982241693004209	12.244428740017552	12.5153235958424	12.866072572831058	13.417171439730366	14.212073333963836	15.225990286771182
MCW_CT_ROA_113_R1 - nextera_transposase_sequence	0.11066866730269725	0.11171572099585604	0.11174026131678945	0.11178116185167847	0.11183842260052308	0.11183842260052308	0.1118875032423899	0.11192022367030112	0.11204292527496816	0.11234558923314687	0.1124192101959471	0.11245193062385832	0.11254191180061415	0.11255827201456975	0.11259099244248097	0.11260735265643657	0.11261553276341438	0.11267279351225899	0.11272187415412581	0.11290183650763748	0.1132372208937274	0.1156585325591571	0.11587939544755778	0.11686918839187195	0.11722911309889529	0.118611551178144	0.12140914776455264	0.1280922951654177	0.13926632129709665	0.16180251602094403	0.1911445597503235	0.231284344690403	0.30040624865283866	0.39161444145534247	0.475525978833646	0.5910945302160473	0.7554328794001102	0.9065358154940879	1.0882159914710932	1.4345371805903404	2.0809946748321586	3.15067454389155	4.674587573321366	6.321570312232229	7.8990466821527	9.096172617926262	9.932367693518222	10.398609250932061	10.73465622568719	11.121035398676737	11.761562315359647	12.801131210633747	14.184485461863973	15.795164886007345	17.389623158013737	18.65775242235463	19.571952998086918	20.130629764349933	20.488190420456682	20.829129099184534	21.267247448808686	21.97170190152313	22.99763455846523	24.303948562178505
MCW_CT_ROA_113_R2 - nextera_transposase_sequence	0.11085680976318672	0.1118711430284343	0.11189568334936771	0.11192840377727892	0.11198566452612355	0.11198566452612355	0.11203474516799036	0.11206746559590157	0.1121656268796352	0.11246011073083612	0.11253373169363634	0.11256645212154756	0.11265643329830338	0.11267279351225899	0.1126973338331924	0.11271369404714801	0.11275459458203703	0.11282003543785946	0.11284457575879286	0.11303271821928233	0.11336810260537225	0.11579759437777976	0.11605117769409165	0.11703279053142801	0.1172618335268065	0.118611551178144	0.12139278755059703	0.12814137580728452	0.13962624600412	0.16240784393730145	0.19206073173183744	0.23283856501618558	0.302549436681023	0.3949355648883305	0.4794033495411246	0.5962807180399744	0.7611916747124835	0.9115502210714811	1.0928622922344853	1.4397806291631121	2.085959999767685	3.15451101406414	4.687667564378874	6.318445511366709	7.892846161063525	9.074642576360684	9.897275034583448	10.359860084178209	10.692005147904924	11.071153106326094	11.70435882726387	12.729277150940725	14.107469754667958	15.682991079020733	17.245710535953247	18.492906906537943	19.38746704541653	19.943992443544378	20.292914906682565	20.630066195879696	21.05984083638649	21.76247930535186	22.78338119650261	24.09103673776025
MCW_CT_ROA_114_R1 - nextera_transposase_sequence	0.07484957787160357	0.07557255052483433	0.07557255052483433	0.07557255052483433	0.07562732118038211	0.07562732118038211	0.07562732118038211	0.07572590836036813	0.07579163314702547	0.07604357816254528	0.07604357816254528	0.07604357816254528	0.07606548642476439	0.07608739468698351	0.07613121121142175	0.07613121121142175	0.07613121121142175	0.07613121121142175	0.07613121121142175	0.07630647730917466	0.07639411035805112	0.07751143173122593	0.07755524825566416	0.07834394569555227	0.07908882661100215	0.07991038644421894	0.08141110240622826	0.0845111215102329	0.09024013208053126	0.10946463217780394	0.14073867649558944	0.18556298099589702	0.2688801022151882	0.3718817970383535	0.4713781699064605	0.5662957159707727	0.6717292279002596	0.7513438528045204	0.8312980557731776	0.9940107192745385	1.318307770772976	1.911112484028877	2.8030526096245625	3.769732771780756	4.730957776644391	5.44176039021244	5.933162711787171	6.194900720518928	6.36128301794199	6.555916019496601	6.8890749630626695	7.47026829734244	8.300591435446867	9.289475621362133	10.30803454845319	11.111574835994748	11.684169177353517	12.028950454026827	12.228030832811916	12.41047188644159	12.655756790246793	13.07625302114936	13.728352446101294	14.591778968418803
MCW_CT_ROA_114_R2 - nextera_transposase_sequence	0.07465240351163153	0.07536442203375275	0.07536442203375275	0.07539728442708142	0.07543014682041009	0.07543014682041009	0.07544110095151964	0.07553968813150566	0.07559445878705344	0.07585735793368281	0.07585735793368281	0.07585735793368281	0.07587926619590193	0.0759121285892306	0.07595594511366882	0.07595594511366882	0.07595594511366882	0.07597785337588794	0.07603262403143572	0.07617502773585996	0.07625170665362686	0.07742379868234947	0.07748952346900682	0.07827822090889493	0.07896833116879702	0.07985561578867115	0.08138919414400914	0.08460970869021893	0.09054684775159887	0.1103957333221163	0.14290759445528173	0.1888820827220928	0.27344797488787354	0.37813660590191056	0.47979094259860033	0.575387644791705	0.6815660376366418	0.7627251950273503	0.8434680954358955	1.0069694563771445	1.3378061241479877	1.9342257006700423	2.8451383813474806	3.8188839580693386	4.790351075520409	5.498491835228836	5.9885687069393105	6.249879504557795	6.415144480607682	6.606721279582726	6.936955470142544	7.510689041136706	8.340486380947874	9.306607882417481	10.306906272948904	11.099886778100851	11.662644309723238	12.00980263284732	12.20619924951057	12.388793660975777	12.631789151379081	13.052942630148223	13.706761853684355	14.579280304822797
MCW_CT_ROA_115_R1 - nextera_transposase_sequence	0.02003374040697796	0.020264406074776854	0.020272949247658295	0.020290035593421175	0.020324208284946937	0.02034129463070982	0.0204010968408799	0.020409640013761342	0.020477985396812868	0.02070010789173032	0.020708651064611762	0.02074282375613752	0.020836798657833368	0.020939316732410652	0.020990575769699298	0.02104183480698794	0.021144352881565225	0.021349389030719798	0.021622770562925893	0.022195163145982407	0.022579605925647228	0.024083204352780756	0.024570165207022866	0.02558680277991428	0.026475292759584095	0.028508567905366933	0.03870911632580688	0.05331794195307013	0.07236921747868244	0.09998929540437955	0.13266693167588944	0.16789897663895004	0.21860270769029938	0.2907156299825386	0.3817004211698799	0.5085152794219826	0.6970289322238485	0.9143757935005762	1.127732993041671	1.4033528365427044	1.8212250516926034	2.3915587300846894	3.083154204355942	3.7988841420172634	4.4786473218477205	5.048075423914375	5.508637873952831	5.843820718783268	6.108257548982495	6.371062633161368	6.722511679158067	7.212257607759525	7.870961866437232	8.565513278525462	9.278962189027439	9.922220391135502	10.455775710272986	10.892929866616296	11.203081214904111	11.49717139817482	11.805485964293126	12.218069955429412	12.790966585685931	13.51741820531346
MCW_CT_ROA_115_R2 - nextera_transposase_sequence	0.019734729356127544	0.019956851851044996	0.019965395023926438	0.019982481369689317	0.02002519723409652	0.0200422835798594	0.020084999444266605	0.020093542617148043	0.020221690210369653	0.020435269532405664	0.020452355878168547	0.020486528569694306	0.020614676162915915	0.020640305681560236	0.020665935200204558	0.02070010789173032	0.020819712312070488	0.021024748461225057	0.021315216339194035	0.021879065749369108	0.022212249491745287	0.023741477437523136	0.024219895118883804	0.025262162210419544	0.026159195362970795	0.02814121147146499	0.03851262334953375	0.05347171906493606	0.07274511708546581	0.10106573518744105	0.13503339056404848	0.17076948272711406	0.2228657509581382	0.2960807425520832	0.3890475498479187	0.5181519784322475	0.7093396443460043	0.9302233791956483	1.1467159231842319	1.4241383761632491	1.8491953997064394	2.424022787034163	3.1317734012242195	3.852287515699148	4.541456728872071	5.109526466450576	5.56639826580425	5.8990096155973735	6.156492303071109	6.407866621934613	6.74850855423629	7.223209955393531	7.873951976945736	8.535902641318389	9.22025350498618	9.847185703717809	10.364201440156826	10.803303439917103	11.10349344862516	11.39534532060093	11.697679665702228	12.110272200011396	12.683561816220461	13.420538624837926
MCW_CT_ROA_116_R1 - nextera_transposase_sequence	0.043243640951851785	0.043924573539437184	0.043924573539437184	0.04394226010015369	0.04395110338051194	0.04395110338051194	0.04395110338051194	0.044021849623377955	0.044110282426960475	0.04434905099663328	0.04436673755734978	0.04436673755734978	0.04444632708057405	0.0444551703609323	0.04446401364129055	0.04449054348236531	0.04453475988415657	0.04458781956630608	0.04459666284666433	0.04477352845382936	0.0449503940609944	0.04575513257359533	0.04580819225574484	0.04611770706828366	0.04629457267544869	0.046772109814794294	0.04892102694184951	0.052175354113686206	0.058206471318014	0.0703394519695356	0.08539071513928034	0.10450104399346269	0.1372830842815025	0.1783335917045078	0.21828753236308987	0.27317777354675943	0.35419990818906333	0.428262381189423	0.51093820925872	0.6615392737597499	0.9317191752650619	1.388421546086623	2.0299307898349324	2.7534260857845947	3.4586600077944674	4.001097981689281	4.40211421609493	4.633109542332828	4.8048283603293624	5.0045007875383325	5.329579773507672	5.857152193120264	6.571158649245522	7.41897278047149	8.240955689771004	8.928131633289325	9.455721739462634	9.786478111421973	10.00083038402564	10.220559371087125	10.498645165232714	10.93544131196785	11.576685257305412	12.38387335856557
MCW_CT_ROA_116_R2 - nextera_transposase_sequence	0.04398647650194495	0.04467625236988859	0.044685095650246844	0.0447116254913216	0.04474699861275461	0.04475584189311286	0.04475584189311286	0.044835431416337126	0.0449503940609944	0.045189162630667204	0.04522453575210021	0.04522453575210021	0.04530412527532448	0.04530412527532448	0.04530412527532448	0.04534834167711574	0.04538371479854875	0.04545446104141476	0.045463304321773014	0.0456313266485798	0.045790505695028336	0.04665714717013702	0.04667483373085352	0.04698434854339234	0.04715237087019913	0.04767412441133599	0.04983188481874945	0.05319233135488517	0.0593826276056615	0.07177206338757242	0.08746004274311128	0.107109811699147	0.14133330668558186	0.1830028437336648	0.22325745592442744	0.27818307022953	0.3586038618074728	0.43233029015421887	0.5152714166342635	0.6627684897295468	0.9310205561167599	1.3861841961559853	2.0359088473571103	2.7542573541382707	3.4562192624155896	3.9825270929369516	4.369234899722949	4.594331757961893	4.761124868798881	4.95336894050692	5.26913595225902	5.783293115568144	6.48992427587462	7.308935842973762	8.1028678669769	8.767962139440668	9.277264341833112	9.606084035393991	9.811203923303644	10.027271792296814	10.296531992644868	10.729189484172341	11.364490745109158	12.1734828755624
