Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
MCW_CT_ROA_163_R1	57.847666674161694	53.0	75.0	27.27272727272727	6957103.0
MCW_CT_ROA_163_R2	49.24921384127903	53.0	75.0	18.181818181818183	6957103.0
MCW_CT_ROA_167_R1	62.15357484643436	47.0	75.0	27.27272727272727	10282297.0
MCW_CT_ROA_167_R2	57.370212441114646	47.0	75.0	27.27272727272727	10282297.0
MCW_CT_ROA_171_R1	52.6920356959378	48.0	75.0	27.27272727272727	15050569.0
MCW_CT_ROA_171_R2	49.980799052902505	48.0	75.0	18.181818181818183	15050569.0
MCW_CT_ROA_172_R1	72.26971878057584	47.0	75.0	27.27272727272727	11130248.0
MCW_CT_ROA_172_R2	69.3320944316597	47.0	75.0	27.27272727272727	11130248.0
MCW_CT_ROA_173_R1	53.548695397968	48.0	75.0	27.27272727272727	12822655.0
MCW_CT_ROA_173_R2	49.130239329167416	48.0	75.0	18.181818181818183	12822655.0
MCW_CT_ROA_174_R1	33.42383359707979	47.0	75.0	9.090909090909092	5639908.0
MCW_CT_ROA_174_R2	32.036590776552714	46.0	75.0	9.090909090909092	5639908.0
MCW_CT_ROA_175_R1	27.679489859328683	54.0	75.0	18.181818181818183	735415.0
MCW_CT_ROA_175_R2	27.931258197134824	53.0	75.0	18.181818181818183	735415.0
MCW_CT_ROA_177_R1	62.2321254267307	51.0	75.0	36.36363636363637	10271672.0
MCW_CT_ROA_177_R2	57.87213542507932	50.0	75.0	27.27272727272727	10271672.0
MCW_CT_ROA_180_R1	61.35129814205021	48.0	75.0	27.27272727272727	14439024.0
MCW_CT_ROA_180_R2	58.00902499727052	48.0	75.0	27.27272727272727	14439024.0
MCW_CT_ROA_181_R1	54.59534908731597	48.0	75.0	27.27272727272727	12983158.0
MCW_CT_ROA_181_R2	48.207579965183776	48.0	75.0	18.181818181818183	12983158.0
MCW_CT_ROA_183_R1	63.054044805245084	49.0	75.0	27.27272727272727	11073315.0
MCW_CT_ROA_183_R2	60.61329922321615	48.0	75.0	27.27272727272727	11073315.0
MCW_CT_ROA_185_R1	66.17919189714561	50.0	75.0	27.27272727272727	10378078.0
MCW_CT_ROA_185_R2	63.347046006392915	50.0	75.0	27.27272727272727	10378078.0
MCW_CT_ROA_189_R1	62.05042280264023	49.0	75.0	27.27272727272727	9022622.0
MCW_CT_ROA_189_R2	56.082901571364296	49.0	75.0	27.27272727272727	9022622.0
MCW_CT_ROA_192_R1	69.2144122715382	49.0	75.0	27.27272727272727	9619443.0
MCW_CT_ROA_192_R2	60.93948551157344	48.0	75.0	27.27272727272727	9619443.0
MCW_CT_ROA_194_R1	61.7784415788206	48.0	75.0	27.27272727272727	13340346.0
MCW_CT_ROA_194_R2	59.330265910585624	47.0	75.0	27.27272727272727	13340346.0
MCW_CT_ROA_195_R1	67.78750112652618	50.0	75.0	27.27272727272727	14461970.0
MCW_CT_ROA_195_R2	63.20334228721764	49.0	75.0	27.27272727272727	14461970.0
MCW_CT_ROA_202_R1	69.3413600463073	49.0	75.0	27.27272727272727	7768945.0
MCW_CT_ROA_202_R2	68.20450025999958	49.0	75.0	27.27272727272727	7768945.0
MCW_CT_ROA_206_R1	59.12361108557608	50.0	75.0	36.36363636363637	8458422.0
MCW_CT_ROA_206_R2	53.34161889142307	50.0	75.0	27.27272727272727	8458422.0
MCW_CT_ROA_207_R1	71.9280882728117	50.0	75.0	27.27272727272727	11012204.0
MCW_CT_ROA_207_R2	67.62898448275925	49.0	75.0	27.27272727272727	11012204.0
MCW_CT_ROA_208_R1	58.58808430323361	50.0	75.0	27.27272727272727	5858681.0
MCW_CT_ROA_208_R2	55.96983374237655	50.0	75.0	27.27272727272727	5858681.0
MCW_CT_ROA_209_R1	74.07338322307436	51.0	75.0	36.36363636363637	11300881.0
MCW_CT_ROA_209_R2	69.68962905384959	51.0	75.0	27.27272727272727	11300881.0
MCW_CT_ROA_210_R1	71.39791335979082	48.0	75.0	27.27272727272727	7408250.0
MCW_CT_ROA_210_R2	66.28712009679138	48.0	75.0	27.27272727272727	7408250.0
MCW_CT_ROA_211_R1	65.12024566899092	51.0	75.0	27.27272727272727	8943870.0
MCW_CT_ROA_211_R2	59.44148894195556	51.0	75.0	27.27272727272727	8943870.0
MCW_CT_ROA_213_R1	18.177346008804705	50.0	75.0	27.27272727272727	13502991.0
MCW_CT_ROA_213_R2	18.359637629290205	50.0	75.0	27.27272727272727	13502991.0
MCW_CT_ROA_215_R1	36.4921387544499	51.0	75.0	27.27272727272727	12241318.0
MCW_CT_ROA_215_R2	36.28298191421299	50.0	75.0	27.27272727272727	12241318.0
MCW_CT_ROA_217_R1	32.35744714426046	50.0	75.0	27.27272727272727	13530325.0
MCW_CT_ROA_217_R2	30.277142089357582	49.0	75.0	27.27272727272727	13530325.0
MCW_CT_ROA_218_R1	31.080400662668424	50.0	75.0	27.27272727272727	15780715.0
MCW_CT_ROA_218_R2	31.4772542587949	50.0	75.0	27.27272727272727	15780715.0
MCW_CT_ROA_221_R1	34.046216210814535	52.0	75.0	27.27272727272727	11680848.0
MCW_CT_ROA_221_R2	33.28499656476758	52.0	75.0	27.27272727272727	11680848.0
MCW_CT_ROA_223_R1	42.737050155392474	51.0	75.0	27.27272727272727	12476927.0
MCW_CT_ROA_223_R2	41.364520053039655	51.0	75.0	27.27272727272727	12476927.0
MCW_CT_ROA_224_R1	21.207840290562984	47.0	75.0	18.181818181818183	7825189.0
MCW_CT_ROA_224_R2	19.557116658967644	47.0	75.0	18.181818181818183	7825189.0
MCW_CT_ROA_226_R1	29.473483205603557	51.0	75.0	27.27272727272727	11129012.0
MCW_CT_ROA_226_R2	29.588096033748684	51.0	75.0	27.27272727272727	11129012.0
MCW_CT_ROA_227_R1	23.367481010012625	46.0	75.0	18.181818181818183	11813764.0
MCW_CT_ROA_227_R2	19.37389785340943	46.0	75.0	18.181818181818183	11813764.0
MCW_CT_ROA_228_R1	17.755091901713186	47.0	75.0	18.181818181818183	5706788.0
MCW_CT_ROA_228_R2	16.878989632411262	47.0	75.0	18.181818181818183	5706788.0
MCW_CT_ROA_229_R1	24.462030070559877	50.0	75.0	27.27272727272727	10615672.0
MCW_CT_ROA_229_R2	21.742864349625137	49.0	75.0	27.27272727272727	10615672.0
MCW_CT_ROA_230_R1	26.80362025441626	48.0	75.0	27.27272727272727	8629550.0
MCW_CT_ROA_230_R2	25.652745508067113	48.0	75.0	27.27272727272727	8629550.0
MCW_CT_ROA_231_R1	68.20210700113067	47.0	75.0	36.36363636363637	7604527.0
MCW_CT_ROA_231_R2	59.789917027355635	47.0	75.0	36.36363636363637	7604527.0
MCW_CT_ROA_232_R1	29.159506674326323	49.0	75.0	27.27272727272727	8667896.0
MCW_CT_ROA_232_R2	28.412749343543993	49.0	75.0	27.27272727272727	8667896.0
MCW_CT_ROA_233_R1	30.795221559691072	47.0	75.0	27.27272727272727	11432236.0
MCW_CT_ROA_233_R2	27.831747551723097	47.0	75.0	27.27272727272727	11432236.0
MCW_CT_ROA_236_R1	16.63564313742637	48.0	75.0	27.27272727272727	9763406.0
MCW_CT_ROA_236_R2	15.091061771228837	47.0	75.0	18.181818181818183	9763406.0
MCW_CT_ROA_238_R1	48.82011599643381	50.0	75.0	27.27272727272727	10360507.0
MCW_CT_ROA_238_R2	47.91094562422611	50.0	75.0	27.27272727272727	10360507.0
MCW_CT_ROA_239_R1	24.65480161496491	50.0	75.0	27.27272727272727	11414387.0
MCW_CT_ROA_239_R2	22.915619472574235	50.0	75.0	27.27272727272727	11414387.0
MCW_CT_ROA_243_R1	29.004457254464086	50.0	75.0	27.27272727272727	10923921.0
MCW_CT_ROA_243_R2	28.457094446403715	50.0	75.0	27.27272727272727	10923921.0
MCW_CT_ROA_245_R1	42.17021855869311	51.0	75.0	27.27272727272727	10829386.0
MCW_CT_ROA_245_R2	38.00136830483007	51.0	75.0	27.27272727272727	10829386.0
MCW_CT_ROA_246_R1	39.583008476679794	49.0	75.0	18.181818181818183	12675697.0
MCW_CT_ROA_246_R2	36.08437009599038	49.0	75.0	27.27272727272727	12675697.0
MCW_CT_ROA_247_R1	28.120791155450064	51.0	75.0	27.27272727272727	11633035.0
MCW_CT_ROA_247_R2	23.586640756470175	50.0	75.0	27.27272727272727	11633035.0
MCW_CT_ROA_249_R1	30.263226148866636	50.0	75.0	27.27272727272727	9786132.0
MCW_CT_ROA_249_R2	28.26163084736686	50.0	75.0	27.27272727272727	9786132.0
MCW_CT_ROA_254_R1	28.94276866364001	50.0	75.0	27.27272727272727	7129646.0
MCW_CT_ROA_254_R2	27.678179054539413	49.0	75.0	27.27272727272727	7129646.0
MCW_CT_ROA_78_R1	50.24406143690809	49.0	75.0	36.36363636363637	8524564.0
MCW_CT_ROA_78_R2	46.489220262117584	49.0	75.0	18.181818181818183	8524564.0
MCW_CT_ROA_79_R1	56.53788298511264	55.0	75.0	36.36363636363637	17234597.0
MCW_CT_ROA_79_R2	50.80490473518669	54.0	75.0	27.27272727272727	17234597.0
MCW_CT_ROA_80_R1	64.1394506163688	53.0	75.0	36.36363636363637	11084452.0
MCW_CT_ROA_80_R2	58.981756839708076	53.0	75.0	27.27272727272727	11084452.0
MCW_CT_ROA_81_R1	33.32892515316561	51.0	75.0	27.27272727272727	10305177.0
MCW_CT_ROA_81_R2	30.991731053929215	50.0	75.0	18.181818181818183	10305177.0
MCW_CT_ROA_83_R1	43.29152907380044	51.0	75.0	27.27272727272727	13875955.0
MCW_CT_ROA_83_R2	36.86965490466346	51.0	75.0	18.181818181818183	13875955.0
MCW_CT_ROA_84_R1	55.95447267735971	49.0	75.0	36.36363636363637	9468615.0
MCW_CT_ROA_84_R2	53.4917139935242	49.0	75.0	27.27272727272727	9468615.0
MCW_CT_ROA_85_R1	40.064477971131716	55.0	75.0	27.27272727272727	17871434.0
MCW_CT_ROA_85_R2	34.986246662218164	54.0	75.0	18.181818181818183	17871434.0
MCW_CT_ROA_86_R1	30.310898941897477	51.0	75.0	27.27272727272727	7131376.0
MCW_CT_ROA_86_R2	27.68942312916529	51.0	75.0	18.181818181818183	7131376.0
MCW_CT_ROA_87_R1	46.18058712758503	50.0	75.0	27.27272727272727	10997440.0
MCW_CT_ROA_87_R2	43.0033784244361	50.0	75.0	18.181818181818183	10997440.0
MCW_CT_ROA_88_R1	28.97089216928387	51.0	75.0	27.27272727272727	6138519.0
MCW_CT_ROA_88_R2	24.565542631314614	51.0	75.0	18.181818181818183	6138519.0
MCW_CT_ROA_89_R1	42.71968413894655	50.0	75.0	18.181818181818183	10478522.0
MCW_CT_ROA_89_R2	38.81798607258046	49.0	75.0	9.090909090909092	10478522.0
MCW_CT_ROA_94_R1	25.743431967019063	50.0	75.0	27.27272727272727	7399797.0
MCW_CT_ROA_94_R2	24.557749995030846	50.0	75.0	18.181818181818183	7399797.0
MCW_CT_ROA_95_R1	48.8322108587912	50.0	75.0	18.181818181818183	9248674.0
MCW_CT_ROA_95_R2	41.473445922763794	49.0	75.0	9.090909090909092	9248674.0
MCW_CT_ROA_96_R1	48.72387375179669	50.0	75.0	27.27272727272727	8204585.0
MCW_CT_ROA_96_R2	44.6237768661431	49.0	75.0	18.181818181818183	8204585.0
MCW_CT_ROA_97_R1	39.85286813056057	50.0	75.0	18.181818181818183	6741934.0
MCW_CT_ROA_97_R2	37.57180783111863	50.0	75.0	9.090909090909092	6741934.0
MCW_CT_ROA_99_R1	34.492701908935445	50.0	75.0	27.27272727272727	8108219.0
MCW_CT_ROA_99_R2	31.64464107427274	49.0	75.0	18.181818181818183	8108219.0
